postal_code,placename,longitude,latitude,Diesel,Electric,Gas,Total
64700,Teuva,21.728043586944416,62.473084653589396,0.0,0.0,0.0,0.0
95300,Tervola,24.81179119279981,66.08695153088179,0.0,0.0,0.0,0.0
72210,Tervo,26.753332319405825,62.95419093094088,0.0,0.0,0.0,0.0
66440,Tervajoki,22.09433710095138,62.99096217962073,0.0,0.0,0.0,0.0
33100,Tampere,23.779213688886912,61.496319132894584,1.0,7.0,0.0,8.0
33210,Tampere,23.755440856147914,61.499631350990185,1.0,7.0,0.0,8.0
33400,Tampere,23.67168786229836,61.5163716012799,1.0,7.0,0.0,8.0
33540,Tampere,23.813669456998344,61.49240616966701,1.0,7.0,0.0,8.0
33700,Tampere,23.854174065038986,61.48366403698881,1.0,7.0,0.0,8.0
33720,Tampere,23.849120882372844,61.44972572358373,1.0,7.0,0.0,8.0
33850,Tampere,23.759452813928803,61.442103916946515,1.0,7.0,0.0,8.0
10650,Tammisaari,23.464514658921065,59.9827068533326,29.0,8.0,0.0,37.0
54500,Taavetti,27.567978508140083,60.92282885356365,0.0,0.0,0.0,0.0
25900,Taalintehdas,22.489324277593465,60.0323780760395,0.0,0.0,0.0,0.0
77600,Suonenjoki,27.097441125500843,62.63213653249272,11.0,0.0,0.0,11.0
89600,Suomussalmi,28.91360456520427,64.88337881296133,8.0,0.0,0.0,8.0
25410,Suomusjärvi,23.596139130323426,60.37813917635095,0.0,0.0,0.0,0.0
88600,Sotkamo,28.381679028190668,64.13005682435816,8.0,0.0,0.0,8.0
31400,Somero,23.517256158508292,60.62713191865027,0.0,0.0,0.0,0.0
63800,Soini,24.204285539078548,62.87347205242559,0.0,0.0,0.0,0.0
99600,Sodankylä,26.592024393165428,67.41902979659763,20.0,0.0,0.0,20.0
1120,Sipoo,25.26665988737422,60.26262164761126,14.0,0.0,0.0,14.0
4130,Sipoo,25.26784850134521,60.37738194836896,14.0,0.0,0.0,14.0
56800,Simpele,29.352999051247135,61.43237174494834,3.0,0.0,0.0,3.0
71800,Siilinjärvi,27.660424680872815,63.074350735587956,17.0,10.0,0.0,27.0
60100,Seinäjoki,22.839023501140147,62.79006316616027,0.0,0.0,0.0,0.0
60100,Seinäjoki,22.886405823621423,62.785251448350145,0.0,0.0,0.0,0.0
60100,Seinäjoki,22.889331792838036,62.78252675542191,0.0,0.0,0.0,0.0
60110,Seinäjoki,22.881112872234294,62.78604714642922,0.0,0.0,0.0,0.0
57230,Savonlinna,28.935823295181443,61.86033252899571,24.0,8.0,0.0,32.0
54800,Savitaipale,27.70182901335601,61.19485013026407,0.0,0.0,0.0,0.0
9430,Saukkola,23.962326767501096,60.380657507055844,0.0,0.0,0.0,0.0
38200,Sastamala,22.906689058231326,61.34241132235931,17.0,0.0,0.0,17.0
38460,Sastamala,23.037763931920466,61.511191867962616,17.0,0.0,0.0,17.0
24100,Salo,23.11008020445825,60.38561391834102,1.0,0.0,0.0,1.0
43100,Saarijärvi,25.25813216201137,62.705355304504536,5.0,0.0,0.0,5.0
34600,Ruovesi,24.068868619763464,61.98399927577624,0.0,0.0,0.0,0.0
96320,Rovaniemi,25.62026071338503,66.47998863094655,28.0,5.0,4.0,37.0
